signal_id,spot_at_5d,spot_at_10d,spot_at_20d,spot_at_40d,spot_at_primary_date,max_high_to_primary,max_low_to_primary,hit_primary,hit_range_low,hit_range_high,direction_correct,days_to_primary_hit,max_drawdown_pct,final_status,resolved_date,last_updated
trackb_cont_AAON_20260603,,,,,,150.460007,131.460007,,,,,,-10.5653,pending,,2026-06-08T13:10:03+00:00
trackb_cont_AAON_20260604,,,,,,145.770004,131.460007,,,,,,-10.5653,pending,,2026-06-08T13:10:03+00:00
trackb_cont_AAON_20260605,,,,,,141.729996,131.460007,,,,,,-10.5653,pending,,2026-06-08T13:10:03+00:00
trackb_cont_AAON_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:03+00:00
trackb_cont_AAPL_20260603,,,,,,316.940002,307.149994,,,,,,-1.3965,pending,,2026-06-08T13:09:18+00:00
trackb_cont_AAPL_20260604,,,,,,315.170013,307.149994,,,,,,-1.3965,pending,,2026-06-08T13:09:18+00:00
trackb_cont_AAPL_20260605,,,,,,315.170013,307.149994,,,,,,-1.3965,pending,,2026-06-08T13:09:18+00:00
trackb_cont_AAPL_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:09:18+00:00
trackb_cont_AAT_20260603,,,,,,24.110001,23.190001,,,,,,-0.3438,pending,,2026-06-08T13:10:06+00:00
trackb_cont_AAT_20260604,,,,,,24.110001,23.32,,,,,,0.2149,pending,,2026-06-08T13:10:06+00:00
trackb_cont_AAT_20260605,,,,,,24.110001,23.59,,,,,,1.3752,pending,,2026-06-08T13:10:06+00:00
trackb_cont_AAT_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:06+00:00
trackb_cont_ABAT_20260603,,,,,,3.85,3.05,,,,,,-17.3464,pending,,2026-06-08T13:09:43+00:00
trackb_cont_ABAT_20260604,,,,,,3.79,3.05,,,,,,-17.3464,pending,,2026-06-08T13:09:43+00:00
trackb_cont_ABAT_20260605,,,,,,3.621,3.05,,,,,,-17.3464,pending,,2026-06-08T13:09:43+00:00
trackb_cont_ABAT_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:09:43+00:00
trackb_cont_ABBV_20260603,,,,,,230.470001,213.729996,,,,,,-2.2457,pending,,2026-06-08T13:10:57+00:00
trackb_cont_ABBV_20260604,,,,,,230.470001,219.839996,,,,,,0.5488,pending,,2026-06-08T13:10:57+00:00
trackb_cont_ABBV_20260605,,,,,,230.470001,226.0,,,,,,3.3663,pending,,2026-06-08T13:10:57+00:00
trackb_cont_ABBV_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:57+00:00
trackb_cont_ACMR_20260603,,,,,,93.5,75.610001,,,,,,-15.2022,pending,,2026-06-08T13:09:47+00:00
trackb_cont_ACMR_20260604,,,,,,91.559998,75.610001,,,,,,-15.2022,pending,,2026-06-08T13:09:47+00:00
trackb_cont_ACMR_20260605,,,,,,86.309998,75.610001,,,,,,-15.2022,pending,,2026-06-08T13:09:47+00:00
trackb_cont_ACMR_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:09:47+00:00
trackb_cont_ACVA_20260603,,,,,,6.2,5.54,,,,,,-6.6554,pending,,2026-06-08T13:11:10+00:00
trackb_cont_ACVA_20260604,,,,,,6.06,5.54,,,,,,-6.6554,pending,,2026-06-08T13:11:10+00:00
trackb_cont_ACVA_20260605,,,,,,5.94,5.54,,,,,,-6.6554,pending,,2026-06-08T13:11:10+00:00
trackb_cont_ACVA_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:11:10+00:00
trackb_cont_ADI_20260603,,,,,,439.700012,401.26001,,,,,,-6.9477,pending,,2026-06-08T13:10:50+00:00
trackb_cont_ADI_20260604,,,,,,432.269989,401.26001,,,,,,-6.9477,pending,,2026-06-08T13:10:50+00:00
trackb_cont_ADI_20260605,,,,,,419.640015,401.26001,,,,,,-6.9477,pending,,2026-06-08T13:10:50+00:00
trackb_cont_ADI_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:50+00:00
trackb_cont_ADM_20260603,,,,,,85.370003,80.870003,,,,,,-4.6738,pending,,2026-06-08T13:10:22+00:00
trackb_cont_ADM_20260604,,,,,,84.739998,80.870003,,,,,,-4.6738,pending,,2026-06-08T13:10:22+00:00
trackb_cont_ADM_20260605,,,,,,83.190002,80.870003,,,,,,-4.6738,pending,,2026-06-08T13:10:22+00:00
trackb_cont_ADM_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:22+00:00
trackb_cont_ADP_20260603,,,,,,237.110001,225.0,,,,,,-0.3234,pending,,2026-06-08T13:10:13+00:00
trackb_cont_ADP_20260604,,,,,,237.110001,230.070007,,,,,,1.9227,pending,,2026-06-08T13:10:13+00:00
trackb_cont_ADP_20260605,,,,,,234.850006,231.179993,,,,,,2.4144,pending,,2026-06-08T13:10:13+00:00
trackb_cont_ADP_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:13+00:00
trackb_cont_ADTN_20260603,,,,,,18.299999,15.23,,,,,,-12.0162,pending,,2026-06-08T13:11:16+00:00
trackb_cont_ADTN_20260604,,,,,,17.32,15.23,,,,,,-12.0162,pending,,2026-06-08T13:11:16+00:00
trackb_cont_ADTN_20260605,,,,,,16.860001,15.23,,,,,,-12.0162,pending,,2026-06-08T13:11:16+00:00
trackb_cont_ADTN_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:11:16+00:00
trackb_cont_AEHR_20260603,,,,,,121.800003,96.900002,,,,,,-15.6878,pending,,2026-06-08T13:09:32+00:00
trackb_cont_AEHR_20260604,,,,,,119.470001,96.900002,,,,,,-15.6878,pending,,2026-06-08T13:09:32+00:00
trackb_cont_AEHR_20260605,,,,,,111.790001,96.900002,,,,,,-15.6878,pending,,2026-06-08T13:09:32+00:00
trackb_cont_AEHR_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:09:32+00:00
trackb_cont_AFRM_20260603,,,,,,70.650002,62.439999,,,,,,-4.8823,pending,,2026-06-08T13:11:12+00:00
trackb_cont_AFRM_20260604,,,,,,69.144997,62.439999,,,,,,-4.8823,pending,,2026-06-08T13:11:12+00:00
trackb_cont_AFRM_20260605,,,,,,68.120003,62.439999,,,,,,-4.8823,pending,,2026-06-08T13:11:12+00:00
trackb_cont_AGL_20260603,,,,,,99.135002,80.0,,,,,,-5.482,pending,,2026-06-08T13:10:11+00:00
trackb_cont_AGL_20260604,,,,,,99.135002,83.294998,,,,,,-1.5891,pending,,2026-06-08T13:10:11+00:00
trackb_cont_AGL_20260605,,,,,,99.135002,91.168999,,,,,,7.7138,pending,,2026-06-08T13:10:11+00:00
trackb_cont_AGL_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:11+00:00
trackb_cont_AHRT_20260603,,,,,,6.83,6.59,,,,,,-0.153,pending,,2026-06-08T13:10:51+00:00
trackb_cont_AHRT_20260604,,,,,,6.83,6.7,,,,,,1.5136,pending,,2026-06-08T13:10:51+00:00
trackb_cont_AHRT_20260605,,,,,,6.83,6.7,,,,,,1.5136,pending,,2026-06-08T13:10:51+00:00
trackb_cont_AHRT_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:51+00:00
trackb_cont_AIV_20260603,,,,,,4.3,2.98,,,,,,-30.2924,pending,,2026-06-08T13:10:55+00:00
trackb_cont_AIV_20260604,,,,,,3.1,2.98,,,,,,-30.2924,pending,,2026-06-08T13:10:55+00:00
trackb_cont_AIV_20260605,,,,,,3.1,3.02,,,,,,-29.3567,pending,,2026-06-08T13:10:55+00:00
trackb_cont_AJG_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:11:23+00:00
trackb_cont_AKAM_20260603,,,,,,164.800003,147.789993,,,,,,-8.9066,pending,,2026-06-08T13:10:02+00:00
trackb_cont_AKAM_20260604,,,,,,160.880005,147.789993,,,,,,-8.9066,pending,,2026-06-08T13:10:02+00:00
trackb_cont_AKAM_20260605,,,,,,158.050003,147.789993,,,,,,-8.9066,pending,,2026-06-08T13:10:02+00:00
trackb_cont_AKAM_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:10:02+00:00
trackb_cont_ALAB_20260603,,,,,,372.369995,314.839996,,,,,,-11.2502,pending,,2026-06-08T13:09:18+00:00
trackb_cont_ALAB_20260604,,,,,,365.230011,314.839996,,,,,,-11.2502,pending,,2026-06-08T13:09:18+00:00
trackb_cont_ALAB_20260605,,,,,,349.0,314.839996,,,,,,-11.2502,pending,,2026-06-08T13:09:18+00:00
trackb_cont_ALAB_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:09:18+00:00
trackb_cont_ALGT_20260603,,,,,,86.239998,82.620003,,,,,,-2.5248,pending,,2026-06-08T13:11:03+00:00
trackb_cont_ALGT_20260604,,,,,,86.099998,82.68,,,,,,-2.454,pending,,2026-06-08T13:11:03+00:00
trackb_cont_ALGT_20260605,,,,,,85.309998,82.68,,,,,,-2.454,pending,,2026-06-08T13:11:03+00:00
trackb_cont_ALGT_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:11:03+00:00
trackb_cont_ALM_20260603,,,,,,21.24,16.290001,,,,,,-20.5172,pending,,2026-06-08T13:11:11+00:00
trackb_cont_ALM_20260604,,,,,,21.24,16.290001,,,,,,-20.5172,pending,,2026-06-08T13:11:11+00:00
trackb_cont_ALM_20260605,,,,,,18.0,16.290001,,,,,,-20.5172,pending,,2026-06-08T13:11:11+00:00
trackb_cont_ALNT_20260603,,,,,,91.110001,82.989998,,,,,,-2.7879,pending,,2026-06-08T13:09:46+00:00
trackb_cont_ALNT_20260604,,,,,,91.110001,82.989998,,,,,,-2.7879,pending,,2026-06-08T13:09:46+00:00
trackb_cont_ALNT_20260605,,,,,,89.629997,83.18,,,,,,-2.5653,pending,,2026-06-08T13:09:46+00:00
trackb_cont_ALNT_20260608,,,,,,,,,,,,,,pending,,2026-06-08T13:09:46+00:00
trackb_cont_ALOY_20260603,,,,,,14.13,10.38,,,,,,-0.6898,pending,,2026-06-08T13:10:21+00:00
