signal_id,signal_date,signal_type,ticker,sector,industry,market_cap_b,spot_price_at_signal,direction,trend,conviction,side,primary_target,primary_date,range_low,range_high,range_date_earliest,range_date_latest,top3_concentration_pct,total_candidate_premium,avg_days_oi_increases,in_industry_handoff,in_top50,macro_regime,lookback_window
20260503_DAR_sun_call,2026-05-03,sunday,DAR,Consumer Defensive,Packaged Foods,0.0,63.77,BULLISH,HOLDING,LOW,call,60.0,2026-05-15,60.0,70.0,2026-05-15,2026-07-17,76.62,1978470.0,2.67,False,False,RISK-ON,
20260503_ASIX_sun_call,2026-05-03,sunday,ASIX,Basic Materials,Chemicals,0.0,25.37,BULLISH,HOLDING,LOW,call,17.5,2026-06-18,17.5,25.0,2026-05-15,2026-06-18,100.0,38180.0,0.0,False,False,RISK-ON,
20260503_DOW_sun_call,2026-05-03,sunday,DOW,Basic Materials,Chemicals,0.0,40.245,BULLISH,HOLDING,LOW,call,37.5,2026-05-15,37.5,40.0,2026-05-15,2026-06-18,46.79,5563406.1,0.0,False,False,RISK-ON,
20260503_KRO_sun_call,2026-05-03,sunday,KRO,Basic Materials,Specialty Chemicals,0.0,7.88,BULLISH,HOLDING,LOW,call,7.5,2026-06-18,5.0,7.5,2026-05-15,2026-06-18,99.93,318648.0,0.67,False,False,RISK-ON,
20260503_OEC_sun_call,2026-05-03,sunday,OEC,,,,7.8,BULLISH,HOLDING,LOW,call,7.5,2026-05-15,7.5,7.5,2026-05-15,2026-05-15,100.0,2517.5,0.0,False,False,RISK-ON,
20260503_WMT_sun_call,2026-05-03,sunday,WMT,Consumer Defensive,Discount Stores,0.001,131.36,BULLISH,HOLDING,LOW,call,125.0,2026-05-15,125.0,130.0,2026-05-15,2026-07-17,50.09,17484590.5,0.0,False,True,RISK-ON,
20260503_HUN_sun_call,2026-05-03,sunday,HUN,Basic Materials,Chemicals,0.0,14.5,BULLISH,HOLDING,LOW,call,14.0,2026-05-15,13.0,15.0,2026-05-15,2026-06-18,79.44,1125784.8,1.67,False,False,RISK-ON,
20260503_SSL_sun_call,2026-05-03,sunday,SSL,,,,13.83,BULLISH,HOLDING,LOW,call,7.5,2026-06-18,7.5,12.5,2026-05-15,2026-06-18,97.56,160097.5,0.0,False,False,RISK-ON,
20260503_SGML_sun_call,2026-05-03,sunday,SGML,,,,21.7,BULLISH,HOLDING,LOW,call,15.0,2026-07-17,15.0,21.0,2026-05-15,2026-07-17,69.02,63947.5,0.0,False,False,RISK-ON,
20260503_UAMY_sun_call,2026-05-03,sunday,UAMY,Basic Materials,Other Industrial Metals & Mining,0.0,12.14,BULLISH,HOLDING,LOW,call,15.0,2026-06-18,7.5,15.0,2026-05-15,2026-06-18,56.55,7060563.58,1.33,False,False,RISK-ON,
20260503_CTO_sun_call,2026-05-03,sunday,CTO,Real Estate,REIT - Diversified,0.0,20.44,BULLISH,HOLDING,LOW,call,2.5,2026-05-15,2.5,2.5,2026-05-15,2026-05-15,100.0,1755.0,0.0,False,False,RISK-ON,
20260503_LNT_sun_call,2026-05-03,sunday,LNT,Utilities,Utilities - Regulated Electric,0.0,74.06,BULLISH,HOLDING,LOW,call,72.5,2026-05-15,70.0,72.5,2026-05-15,2026-07-17,73.93,18278.5,0.67,False,False,RISK-ON,
20260503_AEP_sun_call,2026-05-03,sunday,AEP,Utilities,Utilities - Regulated Electric,0.0,136.91,BULLISH,HOLDING,LOW,call,130.0,2026-05-15,110.0,135.0,2026-05-15,2026-06-18,59.47,1303414.38,0.0,False,False,RISK-ON,
20260503_ETR_sun_call,2026-05-03,sunday,ETR,Utilities,Utilities - Regulated Electric,0.0,116.43,BULLISH,HOLDING,LOW,call,120.0,2026-05-15,110.0,120.0,2026-05-15,2026-05-15,88.77,748377.5,1.0,False,False,RISK-ON,
20260503_MSOS_sun_call,2026-05-03,sunday,MSOS,,,,5.07,BULLISH,HOLDING,LOW,call,5.0,2026-06-18,5.0,7.0,2026-05-15,2026-06-18,47.99,4531476.69,3.0,False,False,RISK-ON,
20260503_UNFI_sun_call,2026-05-03,sunday,UNFI,Consumer Defensive,Food Distribution,0.0,51.24,BULLISH,HOLDING,LOW,call,50.0,2026-05-15,48.0,50.0,2026-05-15,2026-06-18,96.62,166119.5,0.33,False,False,RISK-ON,
20260503_DHC_sun_call,2026-05-03,sunday,DHC,Real Estate,REIT - Healthcare Facilities,0.0,7.84,BULLISH,HOLDING,LOW,call,5.0,2026-05-15,5.0,5.0,2026-05-15,2026-05-15,100.0,1740.0,0.0,False,False,RISK-ON,
20260503_VTR_sun_call,2026-05-03,sunday,VTR,Real Estate,REIT - Healthcare Facilities,0.0,88.02,BULLISH,HOLDING,LOW,call,85.0,2026-05-15,85.0,90.0,2026-05-15,2026-06-18,72.66,50002.5,0.33,False,False,RISK-ON,
20260503_LNTH_sun_call,2026-05-03,sunday,LNTH,Healthcare,Drug Manufacturers - Specialty & Generic,0.0,86.0,BULLISH,HOLDING,LOW,call,90.0,2026-07-17,90.0,100.0,2026-05-15,2026-07-17,88.51,22669.38,0.67,False,False,RISK-ON,
20260503_LFMD_sun_call,2026-05-03,sunday,LFMD,Healthcare,Health Information Services,0.0,4.987,BULLISH,HOLDING,LOW,call,5.0,2026-05-15,3.0,6.0,2026-05-15,2026-05-15,81.49,517342.9,0.33,False,False,RISK-ON,
20260503_DRH_sun_call,2026-05-03,sunday,DRH,Real Estate,REIT - Hotel & Motel,0.0,10.56,BULLISH,HOLDING,LOW,call,7.5,2026-05-15,7.5,7.5,2026-05-15,2026-05-15,100.0,1315.0,1.0,True,False,RISK-ON,
